title,nvarchar,20,NULL,NULL,NULL,YES
Customer_KEY,nvarchar,36,NULL,NULL,NULL,YES
Address_1,nvarchar,50,NULL,NULL,NULL,YES
Address_2,nvarchar,50,NULL,NULL,NULL,YES
Address_3,nvarchar,50,NULL,NULL,NULL,YES
Address_4,nvarchar,50,NULL,NULL,NULL,YES
Address_5,nvarchar,50,NULL,NULL,NULL,YES
Post_Code,nvarchar,20,NULL,NULL,NULL,YES
Email_1,nvarchar,50,NULL,NULL,NULL,YES
Telephone_1,nvarchar,30,NULL,NULL,NULL,YES
Telephone_2,nvarchar,30,NULL,NULL,NULL,YES
Forename_1,nvarchar,50,NULL,NULL,NULL,YES
Surname,nvarchar,50,NULL,NULL,NULL,YES
Allow_Email,nvarchar,3,NULL,NULL,NULL,YES
Allow_Mail,nvarchar,3,NULL,NULL,NULL,YES
Allow_SMS,nvarchar,3,NULL,NULL,NULL,YES
Last_Amended_Date,varchar,10,NULL,NULL,NULL,YES
Customer_UID,nvarchar,36,NULL,NULL,NULL,YES
Contact_Name,nvarchar,50,NULL,NULL,NULL,YES
Dear_Name,nvarchar,50,NULL,NULL,NULL,YES
Email_2,nvarchar,50,NULL,NULL,NULL,YES
Forename_2,nvarchar,50,NULL,NULL,NULL,YES
Job_Title,nvarchar,50,NULL,NULL,NULL,YES
Occupation,nvarchar,50,NULL,NULL,NULL,YES
Organisation_Structure_KEY,nvarchar,36,NULL,NULL,NULL,NO
Telephone_3,nvarchar,30,NULL,NULL,NULL,YES
Last_Amended_By_User_KEY,nvarchar,36,NULL,NULL,NULL,YES
Created_By_User_KEY,nvarchar,36,NULL,NULL,NULL,YES
Created_Date,varchar,10,NULL,NULL,NULL,YES
Customer_Type,nvarchar,1000,NULL,NULL,NULL,YES
Dealer_Distance_Miles,numeric,NULL,18,2,2,YES
Has_TPS_Mobile,nvarchar,3,NULL,NULL,NULL,YES
Has_TPS_Telephone,nvarchar,3,NULL,NULL,NULL,YES
MPS,nvarchar,3,NULL,NULL,NULL,YES
